Naslov,Cijena,Stanje_Medija,Stanje_Omota,Tip_Artikla
MUTEMATH – MUTEMATH blue vinyl RSD 2026 LP2,"49,00",Sealed,Sealed,Novo
TRIANGLE -TRIANGLE LP,"30,00",Sealed,Sealed,Novo
SLAYER – HAUNTING THE CHAPEL red /white vinyl LP,"35,00",Sealed,Sealed,Novo
MACABRE – GLOOM clear vinyl LP,"49,00",Sealed,Sealed,Novo
MYRATH – WILDERNESS OF MIRRORS LP,"36,00",Sealed,Sealed,Novo
ANNIHILATOR – CRITERIA FOR A BLACK WIDOW LP2,"41,00",Sealed,Sealed,Novo
ANNIHILATOR – CARNIVAL DIABLOS LP2,"41,00",Sealed,Sealed,Novo
BELPHEGOR – PESTAPOKAL VI red vinyl LP,"49,00",Sealed,Sealed,Novo
BLACK LABEL SOCIETY – BLESSED HELLRIDE ltd vinyl LP,"47,00",Sealed,Sealed,Novo
BLACK LABEL SOCIETY – SHOT TO HELL LP,"35,00",Sealed,Sealed,Novo
HORNSBY BRUCE – INDIGO PARK LP,"36,00",Sealed,Sealed,Novo
JACKSON JOE – HOPE AND FURY LP,"36,00",Sealed,Sealed,Novo
VOMITORY – IN DEATH THROES LP,"36,00",Sealed,Sealed,Novo
VICTORIUS – WORLD WAR DINOSAUR purple vinyl LP,"46,00",Sealed,Sealed,Novo
LONG DISTANCE CALLING – PHANTOM VOID ltd vinyl LP,"37,00",Sealed,Sealed,Novo
TANGERINE DREAM – PLACE DES ARTS MONTREAL 1977 red vinyl LP3,"78,00",Sealed,Sealed,Novo
PLANT ROBERT – SAVING GRACE: ALL THAT GLITTER RSD 2026 12’EP,"25,00",Sealed,Sealed,Novo
AIR – MOON SAFARI ATHENS CONCERT LP,"20,00",Sealed,Sealed,Novo
"ALLEN LILY – ALRIGHT, STILL clear vinyl  LP","25,00",Sealed,Sealed,Novo
CARS – HEARTBEAT CITY LIVE clear vinyl RSD 2026 LP2,"49,00",Sealed,Sealed,Novo
