Naslov,Cijena,URL_Proizvoda,URL_Slike,Stanje_Medija,Stanje_Omota,Tip_Artikla
"A. L. Lloyd, Martyn Wyndham-Reade* and Trevor Lucas - The Great Australian Legend - A Panorama Of Bush Balladry And Song","25,70",https://ezop-antikvarijat.hr/a-l-lloyd-martyn-wyndham-reade-and-trevor-lucas-the-great-australian-legend-a-panorama-of-bush-balladry-and-song/,https://ezop-antikvarijat.hr/wp-content/uploads/2024/12/R-3149887-1318076623-330x317.jpg,M,NM,Rabljeno
"AD Бах / Мендельсон / Шуман / Бетховен / Брамс - Хор Ленинградского Радио И Телевидения, Г. Сандлер – Хоры А Капелла","10,00",https://ezop-antikvarijat.hr/ad-%D0%91%D0%B0%D1%85-%D0%9C%D0%B5%D0%BD%D0%B4%D0%B5%D0%BB%D1%8C%D1%81%D0%BE%D0%BD-%D0%A8%D1%83%D0%BC%D0%B0%D0%BD-%D0%91%D0%B5%D1%82%D1%85%D0%BE%D0%B2%D0%B5%D0%BD-%D0%91%D1%80%D0%B0%D0%BC%D1%81-%D1%85%D0%BE%D1%80-%D0%BB%D0%B5%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4%D1%81%D0%BA%D0%BE%D0%B3%D0%BE-%D1%80%D0%B0%D0%B4%D0%B8%D0%BE-%D0%B8-%D1%82%D0%B5%D0%BB%D0%B5%D0%B2%D0%B8%D0%B4%D0%B5%D0%BD/,https://ezop-antikvarijat.hr/wp-content/uploads/2025/01/R-24278423-1661170297-9756-330x322.jpg,M,M,Rabljeno
General - Rockin' & Rollin' General (2) - Rockin' & Rollin' album cover More images,"23,40",https://ezop-antikvarijat.hr/general-rockin-rollin-general-2-rockin-rollin-album-cover-more-images/,https://ezop-antikvarijat.hr/wp-content/uploads/2024/12/R-4450466-1365235088-1076-1-100x100.jpg,M,NM,Rabljeno
"Heinz Wehrle, Das Pro Musica-Orchester - Wunschkonzert Für Festliche Stunden","5,00",https://ezop-antikvarijat.hr/heinz-wehrle-das-pro-musica-orchester-wunschkonzert-fur-festliche-stunden/,https://ezop-antikvarijat.hr/wp-content/uploads/2024/11/R-13448621-1554716452-4918-330x321.jpg,VG+,VG+,Rabljeno
Jim Reeves And The Circle O Ranch Boys - I Could Cry / Mexican Joe,"3,80",https://ezop-antikvarijat.hr/jim-reeves-and-the-circle-o-ranch-boys-i-could-cry-mexican-joe/,https://ezop-antikvarijat.hr/wp-content/uploads/2023/03/R-6954789-1667796774-2343-100x100.jpg,VG+,M,Rabljeno
1 euro singl - 1 euro singl,"0,20",https://ezop-antikvarijat.hr/1-euro-singl-1-euro-singl/,https://ezop-antikvarijat.hr/wp-content/uploads/2023/04/ezop-antikvarijat0017-100x100.jpg,VG+,VG+,Rabljeno
1. Partita U B-Duru - Johann Sebastian Bach,"8,50",https://ezop-antikvarijat.hr/johann-sebastian-bach-1-partita-u-b-duru-3/,https://ezop-antikvarijat.hr/wp-content/uploads/2019/11/R-12819036-1542558093-4910-100x100.jpg,VG+,VG+,Rabljeno
10 CC - Bloody Tourists,"12,90",https://ezop-antikvarijat.hr/10-cc-bloody-tourists/,https://ezop-antikvarijat.hr/wp-content/uploads/2019/05/17211-150x150.jpg,M,NM,Rabljeno
10 CC - The Collection,"12,90",https://ezop-antikvarijat.hr/10-cc-the-collection-16/,https://ezop-antikvarijat.hr/wp-content/uploads/2019/05/17215-150x150.jpg,M,NM,Rabljeno
10 CC - The Original Soundtrack,"12,90",https://ezop-antikvarijat.hr/10-cc-the-original-soundtrack/,https://ezop-antikvarijat.hr/wp-content/uploads/2019/05/17212-150x150.jpg,M,NM,Rabljeno
