Naslov,Cijena,URL_Proizvoda,URL_Slike,Stanje_Medija,Stanje_Omota,Tip_Artikla
Trans-Europa Express (German) – Clear Vinyl,39.90,https://menartshop.hr/proizvod/trans-europa-express-german-clear-vinyl/,https://menartshop.hr/app/uploads/2026/05/111cd00e-0429-483f-bfea-efdea276be0a.png,Novo,Novo,LP
Almost Here (Baby Blue Vinyl),33.25,https://menartshop.hr/proizvod/almost-here-baby-blue-vinyl/,https://menartshop.hr/app/uploads/2026/05/feb70c17-a891-4e84-90a1-0b88c396cae7.png,Novo,Novo,LP
Baladas En Espanol (30th Anniversary Black Vinyl edition),38.25,https://menartshop.hr/proizvod/baladas-en-espanol-30th-anniversary-black-vinyl-edition/,https://menartshop.hr/app/uploads/2026/04/a67fd0ea-6619-40ad-95db-fd1bfc85ecfe.png,Novo,Novo,LP
Baladas En Espanol (Limited 30th Anniversary Red Vinyl edition),43.25,https://menartshop.hr/proizvod/baladas-en-espanol-limited-30th-anniversary-red-vinyl-edition/,https://menartshop.hr/app/uploads/2026/04/4e650d06-d78b-446a-aacf-a91ec58d4e8e.png,Novo,Novo,LP
Emotional (Live) – RSD 2026 Gold Vinyl edition,31.60,https://menartshop.hr/proizvod/emotional-live-rsd-2026-gold-vinyl-edition/,https://menartshop.hr/app/uploads/2026/04/53af5b98-4803-494b-8883-2169a21af921.png,Novo,Novo,LP
Natural Essence (Tone Poet Vinyl),38.00,https://menartshop.hr/proizvod/natural-essence-tone-poet-vinyl/,https://menartshop.hr/app/uploads/2026/04/0274a2dd-3cdd-4c98-bcc9-4f7d39bacfdc.png,Novo,Novo,LP
Nude (Vinyl),26.40,https://menartshop.hr/proizvod/nude-vinyl/,https://menartshop.hr/app/uploads/2026/04/f8f7265f-55a1-43af-83f9-49e68958b362.png,Novo,Novo,LP
Storyboard (Red Vinyl),47.25,https://menartshop.hr/proizvod/storyboard-red-vinyl/,https://menartshop.hr/app/uploads/2026/04/155f835a-7b45-4630-9ac8-27160b290f9a.png,Novo,Novo,LP
Music Magic (Clear Red Vinyl),36.55,https://menartshop.hr/proizvod/music-magic-clear-red-vinyl/,https://menartshop.hr/app/uploads/2026/04/169d3710-1494-46b6-8302-8241db08433e.png,Novo,Novo,LP
Gift (Gold Vinyl),44.68,https://menartshop.hr/proizvod/gift-gold-vinyl/,https://menartshop.hr/app/uploads/2026/04/b915bb88-66ca-4ea6-920c-df09376f4d9a.png,Novo,Novo,LP
